A babbo morto  11.00
Cavalieri dello zodiaco  22  2.60
Cavalieri dello zodiaco  23  2.60
Cavalieri dello zodiaco  26  2.60
Cavalieri dello zodiaco  27  2.60
Cavalieri dello zodiaco  28  2.60
Daredevil collection: l'uomo senza paura  21.00
Demon king  9  5.50
Dragon  51  3.10
Dragon  52  3.10
Dragonball  32  2.58
Dragonball  33  2.58
Dragonball  34  2.58
Dragonball  35  2.58
Dragonball  42  3.10
Dragonball perfect edition  6  4.00
Enciclopedia Marvel  2  25.00
Enciclopedia Marvel  3  25.00
Fate  9  4.20
Genzo  1  3.10
I classici del fumetto di Repubblica  1  4.90
I classici del fumetto di Repubblica  2  4.90
I classici del fumetto di Repubblica  3  4.90
I classici del fumetto di Repubblica  4  4.90
I classici del fumetto di Repubblica  5  4.90
I classici del fumetto di Repubblica  6  4.90
I classici del fumetto di Repubblica  7  4.90
I classici del fumetto di Repubblica  8  4.90
I classici del fumetto di Repubblica  9  4.90
I classici del fumetto di Repubblica  10  4.90
I classici del fumetto di Repubblica  11  4.90
I classici del fumetto di Repubblica  12  4.90
I classici del fumetto di Repubblica  13  4.90
I classici del fumetto di Repubblica  14  4.90
I classici del fumetto di Repubblica  15  4.90
I classici del fumetto di Repubblica  16  4.90
I classici del fumetto di Repubblica  17  4.90
I classici del fumetto di Repubblica  18  4.90
I classici del fumetto di Repubblica  19  4.90
I classici del fumetto di Repubblica  20  4.90
I classici del fumetto di Repubblica  21  4.90
I classici del fumetto di Repubblica  22  4.90
I classici del fumetto di Repubblica  23  4.90
I classici del fumetto di Repubblica  24  4.90
I classici del fumetto di Repubblica  25  4.90
I classici del fumetto di Repubblica  26  4.90
I classici del fumetto di Repubblica  27  4.90
I classici del fumetto di Repubblica  28  4.90
I classici del fumetto di Repubblica  29  4.90
I classici del fumetto di Repubblica  30  4.90
I classici del fumetto di Repubblica  31  4.90
I classici del fumetto di Repubblica  32  4.90
I classici del fumetto di Repubblica  33  4.90
I classici del fumetto di Repubblica  34  4.90
I classici del fumetto di Repubblica  35  4.90
I classici del fumetto di Repubblica  36  4.90
I classici del fumetto di Repubblica  37  4.90
I classici del fumetto di Repubblica  38  4.90
I classici del fumetto di Repubblica  39  4.90
I classici del fumetto di Repubblica  40  4.90
I classici del fumetto di Repubblica  41  4.90
I classici del fumetto di Repubblica  42  4.90
I classici del fumetto di Repubblica  43  4.90
I classici del fumetto di Repubblica  44  4.90
I classici del fumetto di Repubblica  45  4.90
I classici del fumetto di Repubblica  46  4.90
I classici del fumetto di Repubblica  47  4.90
I classici del fumetto di Repubblica  48  4.90
I classici del fumetto di Repubblica  49  4.90
I classici del fumetto di Repubblica  50  4.90
I classici del fumetto di Repubblica  51  4.90
I classici del fumetto di Repubblica  52  4.90
I classici del fumetto di Repubblica  53  4.90
I classici del fumetto di Repubblica  54  4.90
I classici del fumetto di Repubblica  55  4.90
I classici del fumetto di Repubblica  56  4.90
I classici del fumetto di Repubblica  57  4.90
I classici del fumetto di Repubblica  58  4.90
I classici del fumetto di Repubblica  59  4.90
I classici del fumetto di Repubblica  60  4.90
Kobane calling: oggi  21.00
Macerie prime  17.00
Monster hunter flash  4  4.40
Monster hunter orage  1  3.90
Monster hunter orage  2  3.90
Monster hunter orage  3  3.90
Negima  1  4.00
Negima  2  4.00
Negima  3  4.00
Negima  4  4.00
Rave  33  3.30
Rave  34  3.30
Rave  35  3.30
Slam dunk  19  4.00
Sturmtruppen - un t? con Mussolesi  8.00
Tex: i giustizieri di Vegas  25.00
Tex: il segno di Yama  24.00
Tokyo ghoul  2  5.90
Tokyo ghoul  3  5.90
Tokyo ghoul  4  5.90
Veritas  3  5.90
Witch hunter  8  5.50
